Component,Condition,Bus1,Bus2
MTR99,CYSS1B_MAIN_CM4\MMXU1\PPV\zavg >= 50,31,
MTR91,CYSS1B_07W_PM8\MMXU1\PPV\zavg >= 50,90,
MTR92,CYSS1B_08L_PM8\MMXU1\PPV\zavg >= 50,90,
MTR93,CYSS1B_05W_PM8\MMXU1\PPV\zavg >= 50,90,
MTR94,CYSS1B_06L_PM8\MMXU1\PPV\zavg >= 50,90,
MTR95,CYSS1B_03W_PM8\MMXU1\PPV\zavg >= 50,90,
MTR96,CYSS1B_04L_PM8\MMXU1\PPV\zavg >= 50,90,
MTR97,CYSS1B_01W_PM8\MMXU1\PPV\zavg >= 50,90,
MTR98,CYSS1B_02L_PM8\MMXU1\PPV\zavg >= 50,90,
BKR90,(CYSS1B_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (CYSS1B_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),31,90
BKR91,(CYSS1B_07W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1B_07W_PM8\P26_GGIO1\ZMtrInd3\zInd),90,91
BKR92,(CYSS1B_08L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1B_08L_PM8\P26_GGIO1\ZMtrInd3\zInd),90,92
BKR93,(CYSS1B_05W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1B_05W_PM8\P26_GGIO1\ZMtrInd3\zInd),90,93
BKR94,(CYSS1B_06L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1B_06L_PM8\P26_GGIO1\ZMtrInd3\zInd),90,94
BKR95,(CYSS1B_03W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1B_03W_PM8\P26_GGIO1\ZMtrInd3\zInd),90,95
BKR96,(CYSS1B_04L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1B_04L_PM8\P26_GGIO1\ZMtrInd3\zInd),90,96
BKR97,(CYSS1B_01W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1B_01W_PM8\P26_GGIO1\ZMtrInd3\zInd),90,97
BKR98,(CYSS1B_02L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1B_02L_PM8\P26_GGIO1\ZMtrInd3\zInd),90,98
,,,
// CYSS2A_OL,,,
MTR109,CYSS2A_MAIN_CM4\MMXU1\PPV\zavg >= 50,130,
MTR101,CYSS2A_09L_PM8\MMXU1\PPV\zavg >= 50,100,
MTR102,CYSS2A_10W_PM8\MMXU1\PPV\zavg >= 50,100,
MTR103,CYSS2A_11L_PM8\MMXU1\PPV\zavg >= 50,100,
MTR104,CYSS2A_12W_PM8\MMXU1\PPV\zavg >= 50,100,
MTR105,CYSS2A_13L_PM8\MMXU1\PPV\zavg >= 50,100,
